what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1318126161492
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1318126161495
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1318126161496
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1318126161500
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1318126161502
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1318126161502
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1318126161504
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1318126161507
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1318126161509
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1318126161511
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1318126161514
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1318126161515
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1318126161518
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1318126161519
os,sysinfo,,,"linux",1318126161531
arch,sysinfo,,,"x86",1318126161532
ws,sysinfo,,,"gtk",1318126161532
locale,sysinfo,,,"en_IN",1318126161532
processors,sysinfo,,,"2",1318126161532
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318126161532
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1318126161532
java.specification.name,sysinfo,,,"Java Platform API Specification",1318126161532
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318126161532
java.specification.version,sysinfo,,,"1.6",1318126161532
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1318126161532
java.version,sysinfo,,,"1.6.0_21",1318126161532
java.vm.info,sysinfo,,,"mixed mode, sharing",1318126161532
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1318126161532
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318126161532
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318126161532
java.vm.specification.version,sysinfo,,,"1.0",1318126161532
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1318126161532
java.vm.version,sysinfo,,,"17.0-b16",1318126161532
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1318126185374
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1318126185519
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1318126185544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318126188269
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1318126195781
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1318126195784
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1318126195870
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1318127203807
started,bundle,org.eclipse.pde,3.6.1.v201009090800,"org.eclipse.pde",1318127291065
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1318127291234
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1318127291261
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20100505,"org.eclipse.equinox.frameworkadmin.equinox",1318127295585
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1318127295612
opened,view,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.pde.runtime.LogView",1318127304505
activated,perspective,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.PDEPerspective",1318127304561
started,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1318127304938
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1318127309023
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318127309096
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1318127309562
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1318127313069
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1318127314611
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1318127314642
opened,editor,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.manifestEditor",1318127314842
activated,editor,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.manifestEditor",1318127315058
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1318127318084
started,bundle,org.eclipse.pde.build,3.6.1.R36x_v20100823,"org.eclipse.pde.build",1318127319318
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1318127335198
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318127335708
started,bundle,org.eclipse.emf.mint,0.9.0.v201006142335,"org.eclipse.emf.mint",1318127338699
started,bundle,org.eclipse.emf.mint.ui,0.9.0.v201006142335,"org.eclipse.emf.mint.ui",1318127338705
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1318127338783
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1318127338993
closed,editor,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.manifestEditor",1318127340375
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1318127340505
